review_id,target
3,0
4,0
13,0
14,0
17,0
23,0
24,0
26,0
34,1
36,0
39,0
40,0
46,0
50,0
52,0
60,0
61,8
62,0
70,0
72,0
75,0
77,0
78,0
80,5
83,8
85,0
86,0
88,5
89,0
94,0
97,0
102,0
103,0
107,5
108,0
112,0
120,0
126,8
129,8
130,0
131,"5,8"
136,0
140,0
142,0
155,0
162,8
165,0
166,0
175,"5,8"
178,0
180,0
182,0
188,0
190,0
193,0
194,0
197,"0,5"
204,"0,6"
207,8
210,0
212,0
217,0
218,0
219,0
222,0
223,0
225,0
235,0
242,6
245,8
246,0
247,0
251,8
255,0
256,0
267,0
268,0
269,0
282,8
286,0
287,8
294,0
303,0
307,0
310,0
312,0
313,0
319,0
320,0
326,0
332,0
334,0
340,0
341,0
343,0
344,0
345,0
349,0
350,8
353,0
354,0
358,8
360,0
361,0
366,0
376,0
380,0
382,0
384,0
386,8
387,0
390,0
392,1
397,0
398,0
399,"0,1"
403,0
409,5
417,0
421,8
424,0
430,0
432,0
433,0
436,0
437,0
440,8
441,0
444,"1,5,8"
448,0
451,0
452,0
462,0
463,0
466,0
467,0
469,0
471,"1,5,8"
477,0
492,0
494,0
496,3
498,7
500,8
506,0
509,8
516,0
520,6
521,"6,8"
527,8
532,0
534,0
555,0
559,8
564,0
567,0
571,0
577,0
583,0
586,0
588,0
589,0
594,0
598,"1,8"
601,0
603,"5,8"
615,8
617,0
619,0
625,0
627,0
629,0
631,8
637,0
640,0
642,0
650,0
652,0
656,8
657,0
673,0
681,0
691,0
695,0
700,0
703,"1,6,8"
705,0
712,0
716,0
719,0
726,0
728,"1,8"
729,5
733,8
734,0
736,0
737,0
743,7
746,0
753,0
756,0
758,0
759,"5,8"
764,0
766,"0,1"
767,0
775,0
779,0
780,8
782,0
789,6
794,0
795,0
796,0
797,0
798,8
799,"3,8"
801,0
802,0
803,7
804,0
805,0
807,"1,8"
809,0
810,0
813,0
815,0
826,0
832,0
834,0
837,"0,6"
838,0
840,0
847,0
852,0
853,0
854,0
856,0
857,0
860,0
865,0
866,8
869,8
872,0
873,8
877,0
879,0
887,0
889,0
894,0
904,0
908,0
911,0
914,0
918,"0,5"
919,0
924,0
926,0
929,8
934,0
935,"7,8"
937,0
938,0
939,0
947,0
956,8
959,8
964,0
967,0
969,0
974,0
977,8
979,8
981,0
983,0
987,0
990,8
993,0
999,0
1001,0
1004,0
1014,8
1020,0
1032,1
1034,0
1035,0
1036,0
1053,8
1063,0
1064,8
1068,8
1074,0
1077,0
1080,0
1082,8
1090,0
1094,0
1095,8
1096,5
1100,0
1102,0
1110,0
1112,8
1115,8
1118,0
1119,6
1120,8
1123,8
1126,0
1135,0
1138,"0,5"
1139,0
1140,8
1149,0
1153,5
1157,0
1159,0
1160,0
1162,0
1163,8
1165,0
1168,0
1171,0
1172,0
1183,0
1184,0
1185,0
1186,0
1189,0
1190,0
1192,0
1195,0
1201,0
1205,0
1213,"0,5"
1217,0
1218,0
1223,0
1226,0
1228,0
1229,0
1240,0
1244,0
1245,0
1253,8
1255,8
1256,0
1261,0
1264,8
1269,8
1271,0
1273,0
1275,0
1278,"0,1"
1280,0
1281,8
1288,0
1289,8
1294,0
1295,0
1298,"3,8"
1301,0
1303,0
1304,0
1316,0
1319,0
1320,0
1323,0
1326,0
1340,3
1341,"0,5"
1350,0
1354,"1,5"
1355,0
1356,0
1359,0
1364,0
1366,0
1367,8
1368,0
1369,0
1370,0
1379,"6,8"
1384,0
1387,"0,1"
1388,0
1390,1
1393,0
1396,0
1398,0
1401,0
1402,0
1403,0
1408,"1,8"
1416,0
1417,0
1419,0
1422,8
1423,0
1425,0
1426,0
1427,8
1433,0
1434,"3,8"
1439,0
1442,"0,5"
1445,8
1448,0
1451,0
1461,0
1463,0
1464,5
1465,0
1467,8
1472,0
1474,0
1478,8
1481,8
1486,0
1493,0
1500,0
1506,0
1507,0
1511,0
1514,"1,8"
1517,0
1525,8
1526,0
1528,0
1530,8
1536,8
1539,0
1542,0
1546,0
1547,8
1550,0
1551,0
1554,0
1555,5
1563,0
1567,0
1570,0
1572,0
1577,0
1578,0
1579,0
1583,0
1590,8
1591,0
1593,"5,8"
1599,3
1601,0
1610,0
1612,0
1616,"0,6"
1617,5
1618,0
1625,"1,8"
1627,0
1630,0
1632,0
1637,0
1640,"1,8"
1641,"0,5"
1645,0
1649,0
1653,8
1656,0
1660,8
1663,0
1666,0
1667,0
1669,0
1678,0
1679,"0,1,5"
1682,0
1687,0
1697,0
1700,0
1702,0
1703,0
1706,"5,8"
1709,8
1719,8
1720,"5,8"
1732,0
1734,0
1738,0
1742,3
1743,0
1744,"0,5"
1745,0
1748,0
1749,8
1750,1
1752,0
1759,0
1762,0
1764,8
1766,1
1771,1
1782,0
1784,"5,8"
1792,0
1803,0
1804,0
1805,0
1809,0
1810,0
1813,0
1816,0
1822,3
1829,0
1839,0
1843,0
1847,0
1850,8
1854,3
1862,0
1863,0
1864,0
1865,0
1868,0
1871,0
1876,0
1886,0
1891,0
1900,8
1913,0
1915,0
1920,0
1926,0
1933,0
1939,0
1943,0
1952,0
1969,0
1972,"1,6"
1973,8
1979,0
1980,"5,8"
1987,0
1992,0
1993,0
1994,0
1999,0
2002,0
2003,1
2012,0
2015,3
2020,0
2024,"0,5"
2027,"1,8"
2030,0
2039,0
2045,0
2048,0
2050,8
2052,0
